,company,year,Price,kms_driven,fuel_type
365,Chevrolet,2010,95000,23000,Petrol
366,Mahindra,2018,1000000,4500,Diesel
367,Maruti,2015,220000,129000,Diesel
368,Maruti,2015,230000,5000,Petrol
369,Toyota,2010,940000,131000,Diesel
370,Tata,2010,155555,111111,Petrol
371,Chevrolet,2016,210000,22000,Diesel
372,Ford,2013,495000,38000,Diesel
373,Tata,2016,125000,70000,Diesel
374,Hyundai,2010,195000,36000,Petrol
375,Volkswagen,2015,550000,34000,Diesel
376,Renault,2015,270000,43000,Petrol
377,Ford,2014,500000,40000,Diesel
378,Honda,2016,240000,160000,Diesel
379,Hyundai,2017,800000,12000,Petrol
380,Skoda,2011,530000,68000,Petrol
381,Mahindra,2012,220000,59466,Diesel
382,Mahindra,2015,900000,97200,Diesel
383,Ford,2012,250000,99000,Diesel
384,Maruti,2018,395000,25500,Petrol
385,Mahindra,2009,130000,66000,Petrol
386,Tata,2010,32000,44005,Petrol
387,Mahindra,2016,540000,35000,Diesel
388,Mahindra,2016,540000,35000,Diesel
389,Hyundai,2015,405000,28000,Petrol
390,Hyundai,2015,400000,30000,Petrol
391,Honda,2017,760000,4000,Petrol
392,Maruti,2016,500000,28000,Petrol
393,Ford,2011,175000,75000,Petrol
394,Mahindra,2015,900000,97200,Diesel
395,Honda,2017,750000,3000,Petrol
396,Hyundai,2015,419000,20000,Petrol
397,Maruti,2004,90000,50000,Petrol
398,Hyundai,2018,140000,2110,Petrol
399,Hyundai,2008,275000,100200,Petrol
400,Toyota,2003,150000,100000,Petrol
401,Maruti,2011,230000,65,Petrol
402,Tata,2015,123000,100000,Diesel
403,Mahindra,2015,900000,97200,Diesel
404,Mahindra,2015,900000,97200,Diesel
405,Hyundai,2016,300000,140000,Diesel
406,Honda,2015,499999,55000,Petrol
407,Hyundai,2009,165000,48000,Petrol
408,Maruti,2016,498000,22000,Petrol
409,Tata,2018,480000,103553,Diesel
410,Maruti,2017,488000,80000,Diesel
411,Tata,2014,250000,99000,Diesel
412,Toyota,2010,220000,58000,Petrol
413,Maruti,2013,290000,70000,LPG
414,Mahindra,2013,548900,49800,Diesel
415,Tata,2019,650000,100,Diesel
416,Maruti,2015,550000,75000,Petrol
417,Maruti,2004,90000,50000,Petrol
418,Honda,2014,399000,44000,Diesel
419,Maruti,2016,730000,55000,Diesel
420,Maruti,2017,725000,36000,Diesel
421,Hyundai,2016,195000,56000,Diesel
422,Maruti,2007,130000,62000,Petrol
423,Maruti,2014,190000,6020,Petrol
424,Honda,2013,250000,55700,Diesel
425,Tata,2005,80000,42000,Petrol
426,Hyundai,2003,120000,50000,Petrol
427,Maruti,2010,149000,35000,Petrol
428,Maruti,2014,250000,18500,Petrol
429,Maruti,2007,120000,7000,Petrol
430,Honda,2017,450000,11000,Petrol
431,Maruti,2003,99999,53000,Petrol
432,Maruti,2008,135000,23000,Petrol
433,Maruti,2016,225000,35500,Diesel
434,Maruti,2010,99000,22134,Petrol
435,Renault,2019,370000,1000,Petrol
436,Tata,2010,52000,9000,Petrol
437,Hyundai,2014,190000,35000,Petrol
438,Honda,2014,499000,22000,Petrol
439,Maruti,2010,149000,40000,Petrol
440,Hyundai,2017,400000,20000,Petrol
441,Hyundai,2016,120000,87000,Petrol
442,Maruti,2015,250000,55000,Petrol
443,Maruti,2017,375000,23000,Petrol
444,Honda,2014,381000,6000,Petrol
445,Maruti,2013,180000,65000,Petrol
446,Maruti,2016,580000,25000,Diesel
447,Maruti,2015,278000,39000,Petrol
448,Hyundai,2016,1000000,8000,Petrol
449,Mahindra,2013,690000,75000,Diesel
450,Maruti,2012,480000,51000,Diesel
451,Maruti,2015,90000,55800,Petrol
452,Hyundai,2015,340000,53000,Petrol
453,Hyundai,2018,260000,25000,Petrol
454,Ford,2009,250000,56400,Petrol
455,Maruti,2010,180000,72160,Diesel
456,Hyundai,2012,350000,10000,Diesel
457,Maruti,2006,90001,48000,Petrol
458,Maruti,2007,115000,36000,Petrol
459,Maruti,2003,130000,133000,Petrol
460,Maruti,2009,159000,27000,Petrol
461,Maruti,2009,160000,35000,Petrol
462,Maruti,2010,110000,55000,Petrol
463,Maruti,2016,425000,40000,Petrol
464,Hyundai,2019,900000,2000,Petrol
465,Maruti,2009,150000,45000,Petrol
466,Hyundai,2009,110000,20000,Petrol
467,Hyundai,2009,115000,20000,Petrol
468,Chevrolet,2012,215000,65422,Diesel
469,Ford,2017,580000,10000,Petrol
470,Maruti,2013,380000,35000,Petrol
471,Hyundai,2013,350000,117000,Diesel
472,Tata,2005,35000,150000,Diesel
473,Hyundai,2010,300000,10750,Petrol
474,Honda,2009,269000,55000,Petrol
475,Tata,2013,60000,6800,Petrol
476,Chevrolet,2014,400000,41000,Diesel
477,Hyundai,2015,430000,73000,Diesel
478,Maruti,2011,140000,65000,Diesel
479,Maruti,2014,199000,37000,Petrol
480,Hyundai,2006,90000,55000,Petrol
481,Maruti,2019,265000,9800,Petrol
482,Chevrolet,2011,100000,27000,Petrol
483,Hyundai,2009,215000,27000,Petrol
484,Toyota,2012,380000,20000,Diesel
485,Renault,2013,401919,57923,Diesel
486,Chevrolet,2014,490000,30201,Diesel
487,Maruti,2017,280000,6200,Petrol
488,Toyota,2014,160000,24652,Petrol
489,Mahindra,2004,424000,383,Diesel
490,Chevrolet,2016,225000,95000,Diesel
491,Chevrolet,2011,350000,35000,Diesel
492,Maruti,2013,485000,52500,Diesel
493,Hyundai,2010,205000,47900,Diesel
494,Maruti,2012,160000,14000,Petrol
495,Maruti,2018,310000,37000,Petrol
496,Tata,2017,180000,90000,Diesel
497,Mahindra,2013,549900,52800,Diesel
498,Tata,2016,150000,104000,Diesel
499,Hyundai,2011,175000,30000,Petrol
500,Tata,2014,95000,195000,Diesel
501,Tata,2016,230000,104000,Diesel
502,Tata,2016,230000,104000,Diesel
503,Tata,2004,180000,70000,Diesel
504,Hyundai,2015,400000,43000,Diesel
505,Hyundai,2013,185000,23000,Petrol
506,Renault,2015,385000,51000,Diesel
507,Maruti,2009,90000,62000,Petrol
508,Tata,2010,32000,48008,Petrol
509,Renault,2013,435000,39000,Diesel
510,Maruti,2010,225000,40000,Petrol
511,Maruti,2006,189700,48247,Petrol
512,Maruti,2012,389700,39000,Diesel
513,Maruti,2014,365000,23000,Petrol
514,Maruti,2017,360000,9400,Petrol
515,Hyundai,2010,210000,50000,Petrol
516,Hyundai,2009,170000,75000,Petrol
517,Tata,2017,380000,70000,Diesel
518,Mahindra,2009,295000,64000,Diesel
519,Toyota,2010,185000,55000,Petrol
520,Tata,2014,160000,200000,Diesel
521,Renault,2018,290000,2137,Petrol
522,Tata,2013,100000,30000,Diesel
523,Maruti,2014,315000,44000,Petrol
524,Skoda,2006,114990,65000,Diesel
525,Maruti,2012,120000,160000,LPG
526,Chevrolet,2011,125000,56000,Diesel
527,Tata,2012,210000,75000,Diesel
528,Hyundai,2018,855000,42000,Diesel
529,Tata,2012,210000,75000,Diesel
530,Mahindra,2007,260000,56000,Diesel
531,Maruti,2011,255000,64000,Petrol
532,Mahindra,2008,300000,70000,Diesel
533,Hyundai,2014,340000,25000,Petrol
534,Hyundai,2017,550000,15000,Petrol
535,Ford,2003,60000,50000,Petrol
536,Toyota,2011,750000,147000,Diesel
537,Chevrolet,2012,130000,90001,Diesel
538,Maruti,2017,270000,21000,Petrol
539,Maruti,2012,280000,48006,Diesel
540,Maruti,2012,280000,48006,Diesel
541,Maruti,2012,280000,48006,Diesel
542,Toyota,2012,600000,80000,Diesel
543,Maruti,2010,190000,74000,Diesel
544,Hyundai,2015,500000,22000,Petrol
545,Mahindra,2016,1065000,41000,Diesel
546,Volkswagen,2015,350000,25000,Diesel
547,Toyota,2012,350000,85000,Diesel
548,Mahindra,2016,540000,29500,Diesel
549,Hyundai,2015,470000,30000,Petrol
550,Hyundai,2014,179000,57000,Petrol
551,Maruti,2003,48000,60000,Petrol
552,Maruti,2016,650000,50000,Petrol
553,Hyundai,2013,190000,39700,Petrol
554,Hyundai,2012,500000,65000,Petrol
555,Maruti,2010,270000,67000,Diesel
556,Maruti,2008,125000,46000,Petrol
557,Hyundai,2012,188000,38000,Petrol
558,Hyundai,2016,380000,27000,Petrol
559,Hyundai,2011,365000,43000,Diesel
560,Ford,2014,465000,47000,Petrol
561,Hyundai,2011,240000,42000,Petrol
562,Chevrolet,2016,179999,19336,Diesel
563,Tata,2015,140000,60105,Diesel
564,Maruti,2015,475000,22000,Petrol
565,Maruti,2016,615000,21000,Diesel
566,Maruti,2013,475000,48000,Diesel
567,Maruti,2016,270000,38000,Petrol
568,Honda,2014,475000,34000,Diesel
569,Volkswagen,2011,240000,45933,Petrol
570,Honda,2005,120000,68000,Petrol
571,Mahindra,2017,360000,35000,Diesel
572,Tata,2018,450000,102563,Diesel
573,Mahindra,2015,900000,28600,Diesel
574,Maruti,2017,650000,41800,Diesel
575,Tata,2014,275000,116000,Diesel
576,Maruti,2009,210000,59000,Petrol
577,Mahindra,2004,175000,58000,Diesel
578,Maruti,2009,85000,45000,Petrol
579,Renault,2014,800000,7400,Diesel
580,Volkswagen,2009,450000,54500,Diesel
581,Maruti,2012,1000000,200000,Diesel
582,Toyota,2014,790000,29000,Petrol
583,Chevrolet,2012,135000,36000,Petrol
584,Mahindra,2004,175000,60000,Diesel
585,Volkswagen,2011,200000,95000,Diesel
586,Tata,2017,270000,50000,Diesel
587,Ford,2019,525000,0,Petrol
588,Honda,2006,180000,50000,Petrol
589,Maruti,2008,140000,68000,Petrol
590,Ford,2014,400000,16000,Petrol
591,Maruti,2016,499000,51000,Diesel
592,Maruti,2009,85000,56000,Petrol
593,Maruti,2004,70000,100000,Petrol
594,Renault,2015,550000,36000,Petrol
595,Maruti,2014,370000,11523,Petrol
596,Maruti,2018,690000,1000,Petrol
597,Honda,2009,250000,60000,Petrol
598,Tata,2016,110000,85000,Diesel
599,Renault,2013,490000,38600,Diesel
600,Mahindra,2009,320000,95500,Diesel
601,Maruti,2004,68000,56000,Petrol
602,Maruti,2014,130000,37458,Petrol
603,Maruti,2016,970000,85960,Diesel
604,Hyundai,2018,280000,35000,Petrol
605,Maruti,2009,125000,0,Petrol
606,Mahindra,2008,285000,80000,Diesel
607,Hyundai,2011,165000,45000,Petrol
608,Maruti,2009,250000,51000,Diesel
609,Mahindra,2015,865000,30000,Diesel
610,Mahindra,2011,390000,48000,Diesel
611,Hyundai,2003,60000,51000,Petrol
612,Chevrolet,2015,215000,90000,Diesel
613,Maruti,2015,475000,43000,Diesel
614,Mahindra,2015,899000,53000,Diesel
615,Maruti,2013,240000,20000,Petrol
616,Hyundai,2007,99000,55000,Petrol
617,Maruti,2014,260000,120000,Diesel
618,Hyundai,2007,115000,46000,Petrol
619,Hyundai,2009,88000,43200,Petrol
620,Mahindra,2011,390000,56000,Diesel
621,Hyundai,2007,135000,42000,Petrol
622,Tata,2009,90000,30600,Diesel
623,Hyundai,2011,220000,38000,Petrol
624,Hyundai,2017,424999,2550,Petrol
625,Hyundai,2007,135000,47000,Petrol
626,Honda,2005,95000,41000,Petrol
627,Honda,2005,115000,68000,Petrol
628,Maruti,2015,215000,50000,Petrol
629,Maruti,2004,53000,69000,Petrol
630,Maruti,2012,500000,48000,Diesel
631,Tata,2012,85000,55000,Diesel
632,Maruti,2013,165000,25000,Petrol
633,Hyundai,2014,200000,28400,Petrol
634,Hyundai,2014,200000,28000,Petrol
635,Maruti,2015,425000,42000,Diesel
636,Hyundai,2012,600000,29000,Diesel
637,Chevrolet,2005,130000,68485,Diesel
638,Tata,2018,430000,3500,Petrol
639,Tata,2019,568500,0,Petrol
640,Maruti,2006,71000,32000,Petrol
641,Mahindra,2018,560000,8000,Diesel
642,Ford,2014,590000,34000,Diesel
643,Ford,2007,125000,85455,Diesel
644,Hyundai,2007,135000,46000,Petrol
645,Ford,2008,95000,46000,Petrol
646,Maruti,2017,240000,8000,Petrol
647,Tata,2012,115000,64000,Diesel
648,Mahindra,2015,795000,63000,Diesel
649,Hyundai,2007,55000,65000,Petrol
650,Mahindra,2009,300000,62000,Diesel
651,Hyundai,2014,320000,41000,Petrol
652,Maruti,2015,265000,14000,Petrol
653,Toyota,2006,160000,40000,Petrol
654,Hyundai,2017,300000,1600,Petrol
655,Tata,2010,130000,90000,Diesel
656,Maruti,2011,250000,58000,Diesel
657,Volkswagen,2013,380000,27000,Petrol
658,Maruti,2003,42000,60000,Petrol
659,Tata,2017,400000,31000,Petrol
660,Maruti,2009,120000,90000,Diesel
661,Maruti,2009,120000,90000,Diesel
662,Tata,2016,130000,150000,Diesel
663,Chevrolet,2014,189000,31000,Diesel
664,Mahindra,2011,365000,43000,Diesel
665,Hyundai,2013,170000,20000,Petrol
666,Tata,2013,215000,100000,Petrol
667,Tata,2013,60000,7000,Petrol
668,Hyundai,2017,599999,31000,Petrol
669,Hyundai,2009,400000,33000,Petrol
670,Hyundai,2016,900000,60000,Diesel
671,Volkswagen,2013,299999,48000,Diesel
672,Maruti,2014,374999,33000,Petrol
673,Tata,2015,600000,15000,Petrol
674,Maruti,2005,70000,47000,Petrol
675,Maruti,2005,100000,40000,Petrol
676,Maruti,2010,150000,38000,Diesel
677,Maruti,2017,225000,12500,Petrol
678,Maruti,2009,210000,42000,Petrol
679,Hyundai,2014,425000,31000,Petrol
680,Maruti,2008,162000,60000,Diesel
681,Tata,2005,60000,80000,Diesel
682,Mahindra,2014,650000,77000,Diesel
683,Toyota,2012,750000,75000,Diesel
684,Mahindra,2010,375000,40000,Diesel
685,Hyundai,2011,230000,47000,Petrol
686,Mahindra,2016,380000,26500,Petrol
687,Mahindra,2019,560000,2875,Petrol
688,Tata,2005,39999,80000,Diesel
689,Hyundai,2006,85000,60000,Petrol
690,Maruti,2016,395000,20000,Petrol
691,Maruti,2008,175000,58000,Diesel
692,Maruti,2019,400000,1500,Petrol
693,Toyota,2011,750000,75000,Diesel
694,Maruti,2016,250000,2450,Petrol
695,Maruti,2019,425000,1625,Petrol
696,Volkswagen,2017,525000,45000,Petrol
697,Mahindra,2009,130000,65000,Diesel
698,Mahindra,2011,475000,60123,Diesel
699,Chevrolet,2013,300000,28000,Petrol
700,Hyundai,2003,60000,70000,Petrol
701,Maruti,2006,100000,7000,Petrol
702,Hyundai,2018,260000,25000,Petrol
703,Tata,2015,100000,100000,Diesel
704,Toyota,2013,265000,42000,Petrol
705,Hyundai,2009,115000,20000,Petrol
706,Toyota,2003,180000,100000,Diesel
707,Hyundai,2004,45000,137495,Petrol
708,Tata,2016,50500,91200,Diesel
709,Honda,2009,270000,55000,Petrol
710,Tata,2017,290000,120000,Diesel
711,Mahindra,2013,325000,63000,Diesel
712,Tata,2016,160000,104000,Diesel
713,Maruti,2016,350000,146000,Diesel
714,Hyundai,2011,290000,40000,Petrol
715,Hyundai,2011,290000,40000,Petrol
716,Chevrolet,2007,465000,100800,Diesel
717,Maruti,2016,325000,150000,Diesel
718,Hyundai,2018,510000,2100,Petrol
719,Honda,2016,860000,95000,Petrol
720,Maruti,2016,450000,2500,Diesel
721,Hyundai,2006,125000,80000,Petrol
722,Maruti,2005,95000,65000,Petrol
723,Maruti,2009,250000,51000,Diesel
724,Skoda,2009,110000,45000,Petrol
725,Maruti,2011,270000,50000,Petrol
726,Tata,2009,110000,30000,Diesel
727,Toyota,2009,300000,132000,Petrol
728,Tata,2018,260000,27000,Diesel
729,Mahindra,2013,390000,40000,Diesel
